用户码,R值,F值,M值
15574,177,152,675.64
15576,37,43,921.37
15577,150,39,258.88
15578,161,13,127.1
15579,67,48,327.6
15581,120,147,3675.77
15582,24,44,682.9100000000001
15584,23,122,720.86
15585,176,31,455.3
15587,49,9,913.6800000000001
15589,255,29,478.53000000000003
15592,46,24,388.58
15593,70,5,199.8
15594,15,103,1771.78
15596,100,77,1406.59
15597,34,22,324.57
15598,52,14,240.68
15599,26,52,761.74
15601,10,410,6776.56
15602,7,47,1297.8700000000001
15603,78,2,48.480000000000004
15604,51,17,216.39
15605,35,67,1198.23
15606,60,77,2920.16
15607,335,13,104.76
15608,27,60,1093.68
15609,183,16,298.48
15610,51,6,112.46000000000001
15611,8,43,1591.45
15612,35,6,195.15
15615,9,423,10399.74
15618,32,45,776.851
15619,10,3,336.40000000000003
15620,55,100,1553.18
15621,3,16,1293.03
15622,42,185,3709.56
15623,140,19,301.03
15624,116,34,588.13
15625,103,64,1534.26
15626,74,49,675.8
15628,4,155,2870.2400000000002
15630,44,60,1186.35
15632,15,167,3285.31
15634,16,15,243.55
15636,89,25,724.76
15637,52,15,223.36
15639,133,25,425.32
15640,3,476,12416.11
15641,104,119,1887.2
15643,191,33,664.0
15644,165,232,803.54
15645,18,52,612.01
15646,157,35,447.64000000000004
15648,203,24,639.5
15649,335,2,816.0
15651,36,32,646.3
15652,90,21,337.74
15653,92,6,877.4399999999999
15654,8,21,922.53
15655,242,34,560.67
15656,44,47,1425.9
15657,22,1,30.0
15658,189,48,1024.1000000000001
15659,43,11,306.45
15660,24,90,1600.86
15661,316,5,309.8
15663,105,9,138.14
15664,50,17,386.43
15665,167,115,2222.21
15667,39,13,301.32
15668,217,1,76.32000000000001
15669,39,33,684.34
15670,296,12,173.05
15671,17,78,2657.13
15673,87,138,2726.23
15674,72,114,2446.6
15675,80,21,323.69
15676,17,202,3435.76
15677,48,33,657.23
15678,52,12,352.7
15679,23,110,781.28
15680,8,78,1333.68
15681,24,53,1426.16
15683,116,10,193.75
15687,8,166,2993.1
15689,119,9,254.1
15690,3,19,239.76
15691,251,2,136.8
15692,27,12,191.04
15694,0,78,6479.4
15695,266,22,409.98
15696,32,168,2711.11
15699,17,18,309.65
15700,171,86,696.68
15701,1,230,1529.0
15703,264,5,211.5
15704,139,117,2293.62
15705,200,6,143.1
15706,63,55,1060.56
15707,34,205,916.98
15708,40,273,3235.25
15709,283,6,133.25
15712,8,53,1072.3600000000001
15713,142,19,356.7
15714,11,34,330.03000000000003
15716,145,117,1101.1100000000001
15717,233,7,150.3
15719,32,931,5030.07
15720,23,128,598.73
15721,11,84,471.40000000000003
15722,35,67,2211.21
15723,364,38,190.7
15724,200,11,218.25
15725,14,32,415.25
15727,15,301,5159.06
15729,211,5,85.0
15730,65,70,1120.88
15732,211,14,294.12
15733,282,10,162.3
15734,114,26,1339.45
15737,14,71,1188.1200000000001
15738,18,173,4812.42
15739,65,8,449.12
15740,48,9,154.88
15743,15,86,775.96
15744,77,3,34.8
15745,18,62,1094.59
15746,133,28,196.88
15747,12,90,946.64
15748,39,20,144.36
15749,234,10,44534.3
15750,1,291,2463.05
15752,39,405,2626.6
15753,303,1,79.2
15754,50,28,458.57
15755,9,141,2364.25
15756,60,191,528.01
15757,65,45,714.42
15758,24,9,205.25
15759,217,7,253.04
15762,64,37,583.75
15763,31,61,1086.92
15764,87,180,3279.97
15766,63,11,315.06
15768,115,27,621.8299999999999
15769,6,130,56252.72
15773,4,10,635.6800000000001
15774,68,25,270.8
15775,244,7,104.9
15776,132,18,241.62
15777,240,21,1047.11
15780,183,29,475.28000000000003
15781,24,20,345.46
15782,9,43,2614.7400000000002
15783,10,14,246.3
15785,32,83,2328.9700000000003
15786,45,266,4919.0
15787,25,200,933.26
15789,357,25,351.3
15790,9,34,218.75
15791,43,75,1612.69
15793,14,12,965.61
15795,149,42,610.01
15796,0,132,2708.61
15797,112,8,2207.4
15799,74,98,884.14
15800,106,117,696.89
15801,45,64,1063.95
15802,142,1,451.42
15803,50,8,415.82000000000005
15804,0,263,12424.51
15805,22,299,5488.18
15806,45,31,784.58
15807,49,48,903.9
15808,305,195,3651.27
15809,35,35,515.77
15810,78,89,1391.98
15811,21,133,2218.62
15812,106,41,1801.14
15813,207,40,1303.9099999999999
15814,16,72,1945.33
15815,62,49,2100.6
15819,48,123,1905.45
15820,319,17,206.98
15821,43,62,570.96
15822,2,33,885.47
15823,371,1,15.0
15825,171,20,532.94
15826,55,68,1654.31
15827,72,115,1836.0900000000001
15829,98,51,636.14
15830,37,39,576.0
15831,57,66,794.64
15832,253,54,836.79
15834,69,269,2225.15
15835,43,50,954.09
15836,49,10,137.37
15837,64,24,391.98
15838,10,167,33643.08
15839,32,62,1048.49
15840,58,27,355.56
15841,72,47,1224.06
15843,303,8,118.95000000000002
15844,45,11,130.73999999999998
15845,17,138,3711.77
15847,37,22,389.27
15850,18,93,234.88
15852,186,22,160.71
15853,51,30,110.8
15854,3,138,2969.12
15855,136,80,712.24
15856,3,628,16143.64
15857,18,14,297.0
15858,14,188,1427.57
15860,40,139,965.16
15861,11,540,3146.92
15862,7,147,832.88
15863,24,18,68.84
15864,21,20,1936.3200000000002
15865,39,40,895.13
15866,100,43,211.89
15867,4,459,3810.14
15869,276,15,149.64
15870,32,74,351.44
15872,14,108,316.25
15874,63,120,4405.88
15877,1,126,490.33
15880,368,96,329.03000000000003
15881,311,29,501.39000000000004
15882,198,23,516.36
15883,1,49,396.48
15885,92,18,379.35
15886,59,12,181.09
15888,80,12,168.31
15889,156,85,420.07
15891,225,60,511.68
15894,252,37,258.25
15895,149,11,179.17
15897,193,22,208.59
15898,0,84,1383.83
15899,368,4,56.25
15900,23,47,337.28
15901,15,111,351.73
15903,9,74,5126.76
15904,7,30,164.68
15906,19,150,1567.69
15907,3,226,882.72
15909,173,7,191.94
15910,0,266,1228.88
15912,177,19,264.62
15916,15,151,1502.8600000000001
15917,247,12,123.1
15918,190,40,334.23
15919,19,122,525.69
15920,153,60,167.5
15921,172,24,323.03000000000003
15922,372,11,369.5
15923,372,21,127.08
15925,193,12,207.15
15930,66,21,426.63
15932,3,115,2495.87
15933,20,74,1107.46
15935,238,12,416.86
15937,63,7,145.35
15938,111,18,404.58
15939,89,76,6115.01
15940,310,1,35.8
15942,133,14,337.44
15944,276,6,325.1
15945,364,2,181.0
15947,82,29,1708.24
15948,7,60,955.24
15949,16,19,364.72
15950,31,97,1744.71
15951,8,41,708.22
15952,33,84,781.91
15953,14,97,1657.28
15955,23,183,4416.26
15957,31,42,428.89
15958,73,7,104.35
15963,19,28,470.76
15965,16,111,808.87
15967,22,80,397.68
15969,2,20,666.1
15970,303,11,314.1
15971,16,35,4199.85
15973,366,4,307.82000000000005
15974,38,176,3442.15
15975,83,24,371.01
15976,164,96,427.64
15977,16,65,1054.73
15978,76,49,1098.78
15980,88,43,2398.86
15981,24,97,3408.48
15983,21,112,1465.12
15984,2,258,2780.63
15985,122,37,1142.42
15986,29,14,168.12
15987,11,128,1432.77
15988,18,26,156.78
15990,43,52,792.11
15992,3,3,41.989999999999995
15993,8,543,2777.67
15994,54,32,414.27
15996,87,127,1032.58
15998,35,504,3080.22
16000,2,9,12393.7
16003,29,103,2735.37
16005,11,201,578.71
16006,210,8,101.4
16007,47,381,1693.81
16008,23,33,478.78
16009,21,82,972.11
16010,245,79,392.4
16011,7,210,3352.96
16012,34,94,1415.29
16013,3,139,37130.6
16014,37,138,646.83
16015,3,181,704.55
16016,2,224,1465.51
16017,46,32,211.88
16018,38,28,408.90000000000003
16019,46,160,3786.2400000000002
